1,23,zero administration
1,32,focus group
1,113,24/7
1,241,client-driven
1,244,structure
1,294,Phased
1,333,Enhanced
1,368,hardware
1,408,upward-trending
1,574,Inverse
1,867,Business-focused
1,972,ability
2,60,upward-trending
2,237,Fundamental
2,251,Synergistic
2,267,intranet
2,298,Operative
2,505,Re-contextualized
2,583,scalable
2,602,explicit
2,626,Integrated
2,654,Devolved
2,855,even-keeled
2,881,intranet
2,996,directional
3,7,Open-source
3,164,local area network
3,169,capacity
3,286,tangible
3,314,attitude-oriented
3,371,intranet
3,547,benchmark
3,588,global
3,635,Re-engineered
3,648,optimal
3,702,standardization
3,843,capacity
3,884,uniform
3,906,local area network
4,29,neutral
4,328,explicit
4,572,high-level
4,653,fresh-thinking
4,861,protocol
5,80,concept
5,155,orchestration
5,293,mission-critical
5,402,policy
5,633,encompassing
5,692,algorithm
5,888,collaboration
5,890,discrete
6,248,internet solution
6,303,Customer-focused
6,389,Customizable
6,464,emulation
6,556,fresh-thinking
6,634,productivity
6,689,Vision-oriented
6,707,Quality-focused
6,754,interface
6,866,Fully-configurable
6,900,incremental
6,933,cohesive
6,959,exuding
6,999,Face to face
7,131,encryption
7,364,process improvement
7,376,Operative
7,552,open architecture
7,578,transitional
7,579,Business-focused
7,619,workforce
7,628,Open-source
7,681,workforce
7,734,Robust
7,736,contingency
7,802,strategy
7,832,model
7,872,intranet
8,160,data-warehouse
8,839,contextually-based
8,857,Focused
8,950,modular
8,982,Ameliorated
9,16,leverage
9,72,radical
9,141,superstructure
9,176,Switchable
9,228,contingency
9,283,paradigm
9,396,object-oriented
9,491,incremental
9,712,zero tolerance
9,851,Intuitive
9,853,Team-oriented
9,938,fault-tolerant
9,940,Cross-platform
10,9,moderator
10,10,contingency
10,92,24/7
10,102,service-desk
10,200,Future-proofed
10,304,content-based
10,435,demand-driven
10,471,Organized
10,519,hybrid
10,523,24/7
10,554,Monitored
10,555,task-force
10,703,Compatible
10,751,focus group
10,945,task-force
11,5,structure
11,21,asymmetric
11,213,Profound
11,227,well-modulated
11,355,local
11,391,global
11,468,transitional
11,495,executive
11,513,attitude
11,684,Decentralized
11,941,Decentralized
11,958,Re-contextualized
12,35,object-oriented
12,61,interface
12,418,Universal
12,834,exuding
13,344,approach
13,365,open system
13,488,structure
13,504,Graphical User Interface
13,738,dynamic
13,946,Programmable
14,42,groupware
14,51,Digitized
14,247,pricing structure
14,313,Reverse-engineered
14,347,frame
14,367,Future-proofed
14,372,disintermediate
14,511,contingency
14,823,moratorium
14,864,Distributed
14,915,Versatile
14,960,task-force
15,63,logistical
15,222,local area network
15,466,Reverse-engineered
15,540,discrete
15,627,system engine
15,643,Optional
15,679,database
15,844,Virtual
16,115,adapter
